country,years_observed,avg_ratio,min_ratio,max_ratio,ratio_range,ratio_stability
Northern America,5,14.672148,14.62766,14.73938,0.11172000000000004,Stable
New Zealand,5,14.597656,14.36696,14.91552,0.5485600000000002,Stable
Saint Kitts And Nevis,5,14.47664,13.798,15.09945,1.301449999999999,Stable
United States Of America,4,14.4676375,14.42216,14.53749,0.11533000000000015,Stable
Dominica,5,14.391306,13.07679,15.78295,2.706159999999999,Stable
Northern America And Europe,6,14.348898333333334,14.27023,14.46216,0.19193000000000104,Stable
High Income Countries,6,14.24015,14.15035,14.32286,0.17251000000000083,Stable
Ukraine,5,14.14236,12.38447,16.48785,4.103380000000001,Stable
Europe,6,14.130318333333333,14.00801,14.31345,0.30543999999999905,Stable
Cayman Islands,3,14.03126,13.0363,15.74725,2.7109499999999986,Stable
North America And Western Europe,6,13.988591666666666,13.87057,14.1358,0.26522999999999897,Stable
Montserrat,3,13.980556666666667,10.975,15.9,4.925000000000001,Stable
"China, Hong Kong Special Administrative Region",6,13.897146666666668,13.66248,14.43462,0.7721400000000003,Stable
"China, Macao Special Administrative Region",6,13.825586666666666,13.50974,14.10087,0.5911299999999997,Stable
Croatia,5,13.658658,13.50611,13.71278,0.2066700000000008,Stable
Antigua And Barbuda,4,13.6203925,12.05576,14.33428,2.2785200000000003,Stable
Puerto Rico,5,13.56774,12.89212,14.06949,1.1773699999999998,Stable
Azerbaijan,6,13.522829999999999,11.92302,15.48619,3.5631700000000013,Stable
Seychelles,6,13.456953333333333,12.55556,14.03261,1.4770500000000002,Stable
Suriname,6,13.453723333333333,12.92371,13.98546,1.06175,Stable
Barbados,4,13.3910875,12.71532,14.09682,1.381499999999999,Stable
Finland,4,13.352625,13.19718,13.55949,0.3623100000000008,Stable
Cyprus,4,13.1694775,11.91513,13.77462,1.859490000000001,Stable
Malta,5,13.050944,11.45141,13.89999,2.4485800000000015,Stable
Spain,5,13.0389,12.60121,13.31975,0.7185400000000008,Stable
Costa Rica,4,12.8059525,11.97865,13.34199,1.363339999999999,Stable
Portugal,5,12.801236000000001,11.73422,13.40675,1.67253,Stable
Lithuania,5,12.788677999999999,12.43042,13.22845,0.7980300000000007,Stable
Lebanon,5,12.673988,12.04695,14.33889,2.2919399999999985,Stable
Monaco,3,12.266716666666666,10.45596,13.70548,3.2495200000000004,Stable
Israel,4,12.0973525,12.07069,12.11677,0.0460799999999999,Stable
Germany,5,11.992604,11.58027,12.29942,0.7191499999999991,Stable
Bahrain,6,11.872903333333333,11.66884,12.15924,0.49040000000000106,Stable
Italy,4,11.813275,11.12385,12.06786,0.9440100000000005,Stable
Malaysia,6,11.67262,11.4126,12.00361,0.5910100000000007,Stable
Netherlands,5,11.635748,11.50226,11.72995,0.22769000000000084,Stable
Uruguay,4,11.5808875,11.13129,11.9642,0.83291,Stable
Sweden,5,11.567236,9.64567,12.3537,2.708029999999999,Stable
Estonia,3,11.437353333333332,11.26704,11.54548,0.2784399999999998,Stable
British Virgin Islands,4,11.410430000000002,10.53822,11.74552,1.2073,Stable
Belgium,5,11.224448,11.14292,11.30569,0.16277000000000008,Stable
Latvia,5,11.14538,11.01496,11.3295,0.31453999999999915,Stable
Qatar,6,10.973435,9.59909,11.77467,2.17558,Stable
Saudi Arabia,5,10.954292,10.5435,11.68136,1.1378599999999999,Stable
Maldives,6,10.903875,10.16278,12.02005,1.8572699999999998,Stable
Hungary,5,10.774600000000001,10.40282,11.2436,0.8407800000000005,Stable
Austria,6,10.525211666666667,10.01653,10.82489,0.8083600000000004,Stable
Poland,5,10.381649999999999,10.18568,10.81003,0.6243499999999997,Stable
Switzerland,4,10.36008,10.10462,10.7542,0.6495800000000003,Stable
Brunei Darussalam,6,10.232461666666666,10.01661,10.58767,0.5710599999999992,Stable
Iceland,4,9.98053,9.85605,10.14405,0.28800000000000026,Stable
Andorra,6,9.82281,9.33028,10.5,1.1697199999999999,Stable
Greece,5,9.411306,9.19747,9.64365,0.44618,Stable
Georgia,5,9.006344,8.82638,9.09457,0.2681899999999988,Stable
Cuba,6,8.942045,8.74431,9.06511,0.3208000000000002,Stable
Norway,4,8.9222225,8.85048,9.01206,0.16158000000000072,Stable
Kuwait,6,8.768419999999999,8.60056,8.86229,0.26173,Stable
Bermuda,4,8.540535,6.72131,10.4196,3.698290000000001,Stable
Luxembourg,5,8.288498,8.14088,8.45773,0.3168500000000005,Stable
Liechtenstein,4,7.6949425,7.44361,7.84524,0.4016300000000008,Stable
