country,years_observed,avg_ratio,min_ratio,max_ratio,ratio_range,ratio_stability
Japan,4,16.3070225,15.87224,16.73194,0.859700000000002,Stable
Thailand,5,16.286914,15.3927,16.88246,1.48976,Stable
Indonesia,5,16.257506,13.97814,18.59225,4.61411,Stable
Slovenia,5,16.22427,13.80157,16.90462,3.10305,Stable
Saint Lucia,6,15.657155,14.21546,17.24099,3.02553,Stable
Grenada,5,15.58198,14.48004,16.99747,2.51743,Stable
Niue,3,15.3927366666667,13.46667,17.25,3.78333,Stable
Slovakia,4,15.1181225,14.94005,15.24933,0.309280000000001,Stable
Serbia,6,15.091,14.28392,15.7097,1.42578,Stable
Saint Vincent And The Grenadines,6,15.0881283333333,14.39337,15.748,1.35463,Stable
The Former Yugoslav Republic Of Macedonia,4,15.0744025,14.40654,15.57295,1.16641,Stable
Northern America,5,14.672148,14.62766,14.73938,0.11172,Stable
New Zealand,5,14.597656,14.36696,14.91552,0.54856,Stable
Saint Kitts And Nevis,5,14.47664,13.798,15.09945,1.30145,Stable
United States Of America,4,14.4676375,14.42216,14.53749,0.11533,Stable
Dominica,5,14.391306,13.07679,15.78295,2.70616,Stable
Northern America And Europe,6,14.3488983333333,14.27023,14.46216,0.191930000000001,Stable
High Income Countries,6,14.24015,14.15035,14.32286,0.172510000000001,Stable
Ukraine,5,14.14236,12.38447,16.48785,4.10338,Stable
Europe,6,14.1303183333333,14.00801,14.31345,0.305439999999999,Stable
Cayman Islands,3,14.03126,13.0363,15.74725,2.71095,Stable
North America And Western Europe,6,13.9885916666667,13.87057,14.1358,0.265229999999999,Stable
Montserrat,3,13.9805566666667,10.975,15.9,4.925,Stable
"China, Hong Kong Special Administrative Region",6,13.8971466666667,13.66248,14.43462,0.77214,Stable
"China, Macao Special Administrative Region",6,13.8255866666667,13.50974,14.10087,0.59113,Stable
Croatia,5,13.658658,13.50611,13.71278,0.206670000000001,Stable
Antigua And Barbuda,4,13.6203925,12.05576,14.33428,2.27852,Stable
Puerto Rico,5,13.56774,12.89212,14.06949,1.17737,Stable
Azerbaijan,6,13.52283,11.92302,15.48619,3.56317,Stable
Seychelles,6,13.4569533333333,12.55556,14.03261,1.47705,Stable
Suriname,6,13.4537233333333,12.92371,13.98546,1.06175,Stable
Barbados,4,13.3910875,12.71532,14.09682,1.3815,Stable
Finland,4,13.352625,13.19718,13.55949,0.362310000000001,Stable
Cyprus,4,13.1694775,11.91513,13.77462,1.85949,Stable
Malta,5,13.050944,11.45141,13.89999,2.44858,Stable
Spain,5,13.0389,12.60121,13.31975,0.718540000000001,Stable
Costa Rica,4,12.8059525,11.97865,13.34199,1.36334,Stable
Portugal,5,12.801236,11.73422,13.40675,1.67253,Stable
Lithuania,5,12.788678,12.43042,13.22845,0.798030000000001,Stable
Lebanon,5,12.673988,12.04695,14.33889,2.29194,Stable
Monaco,3,12.2667166666667,10.45596,13.70548,3.24952,Stable
Israel,4,12.0973525,12.07069,12.11677,0.0460799999999999,Stable
Germany,5,11.992604,11.58027,12.29942,0.719149999999999,Stable
Bahrain,6,11.8729033333333,11.66884,12.15924,0.490400000000001,Stable
Italy,4,11.813275,11.12385,12.06786,0.94401,Stable
Malaysia,6,11.67262,11.4126,12.00361,0.591010000000001,Stable
Netherlands,5,11.635748,11.50226,11.72995,0.227690000000001,Stable
Uruguay,4,11.5808875,11.13129,11.9642,0.83291,Stable
Sweden,5,11.567236,9.64567,12.3537,2.70803,Stable
Estonia,3,11.4373533333333,11.26704,11.54548,0.27844,Stable
British Virgin Islands,4,11.41043,10.53822,11.74552,1.2073,Stable
Belgium,5,11.224448,11.14292,11.30569,0.16277,Stable
Latvia,5,11.14538,11.01496,11.3295,0.314539999999999,Stable
Qatar,6,10.973435,9.59909,11.77467,2.17558,Stable
Saudi Arabia,5,10.954292,10.5435,11.68136,1.13786,Stable
Maldives,6,10.903875,10.16278,12.02005,1.85727,Stable
Hungary,5,10.7746,10.40282,11.2436,0.840780000000001,Stable
Austria,6,10.5252116666667,10.01653,10.82489,0.80836,Stable
Poland,5,10.38165,10.18568,10.81003,0.62435,Stable
Switzerland,4,10.36008,10.10462,10.7542,0.64958,Stable
Brunei Darussalam,6,10.2324616666667,10.01661,10.58767,0.571059999999999,Stable
Iceland,4,9.98053,9.85605,10.14405,0.288,Stable
Andorra,6,9.82281,9.33028,10.5,1.16972,Stable
Greece,5,9.411306,9.19747,9.64365,0.44618,Stable
Georgia,5,9.006344,8.82638,9.09457,0.268189999999999,Stable
Cuba,6,8.942045,8.74431,9.06511,0.3208,Stable
Norway,4,8.9222225,8.85048,9.01206,0.161580000000001,Stable
Kuwait,6,8.76842,8.60056,8.86229,0.26173,Stable
Bermuda,4,8.540535,6.72131,10.4196,3.69829,Stable
Luxembourg,5,8.288498,8.14088,8.45773,0.316850000000001,Stable
Liechtenstein,4,7.6949425,7.44361,7.84524,0.401630000000001,Stable
